date,sales,marketing_spend,active_customers,avg_discount_pct,holiday_season
2020-01-01,950908.96,42609.43,1563,5.85,0
2020-02-01,1038145.01,44620.03,1709,7.67,0
2020-03-01,1045641.09,51829.11,1766,9.01,0
2020-04-01,1059693.06,53981.13,1830,10.49,0
2020-05-01,1073335.11,47826.13,1791,11.85,0
2020-06-01,1093382.69,46895.64,1791,10.72,0
2020-07-01,1066667.8,46455.68,1769,9.37,0
2020-08-01,950745.19,42267.51,1691,7.17,0
2020-09-01,895200.57,40638.19,1698,5.16,0
2020-10-01,948329.18,38593.91,1660,5.01,1
2020-11-01,1059765.92,43830.59,1713,4.96,1
2020-12-01,1162482.92,47255.58,1784,6.82,1
2021-01-01,1115572.24,50532.06,1840,6.6,0
2021-02-01,1215158.38,57354.48,1996,8.79,0
2021-03-01,1206105.61,59663.22,2030,9.1,0
2021-04-01,1234471.95,58781.42,2090,9.65,0
2021-05-01,1284724.76,60865.7,2116,10.23,0
2021-06-01,1303640.64,55982.23,2091,10.02,0
2021-07-01,1254332.15,56356.9,2059,11.2,0
2021-08-01,1154287.17,51200.15,1987,7.34,0
2021-09-01,1046737.38,48702.07,1950,7.17,0
2021-10-01,1134298.81,47338.14,1971,4.68,1
2021-11-01,1178024.49,52916.88,1948,5.75,1
2021-12-01,1288151.96,53790.94,2029,5.71,1
2022-01-01,1301613.28,57943.34,2123,6.37,0
2022-02-01,1388904.41,62795.73,2225,7.97,0
2022-03-01,1396219.82,68192.82,2353,8.98,0
2022-04-01,1416935.94,69630.89,2342,10.95,0
2022-05-01,1509786.81,69353.67,2369,10.64,0
2022-06-01,1455581.42,67161.64,2413,9.62,0
2022-07-01,1424418.26,67283.3,2306,8.48,0
2022-08-01,1402614.32,58887.17,2309,8.14,0
2022-09-01,1337529.97,56447.31,2218,7.76,0
2022-10-01,1308604.55,55472.45,2254,5.53,1
2022-11-01,1379446.53,60103.76,2265,4.91,1
2022-12-01,1510030.18,64757.94,2361,5.63,1
2023-01-01,1565746.04,66972.11,2498,7.54,0
2023-02-01,1556509.81,70219.69,2484,8.18,0
2023-03-01,1611424.76,73879.24,2642,9.17,0
2023-04-01,1664236.03,78601.19,2676,11.48,0
2023-05-01,1671663.84,78414.71,2649,11.34,0
2023-06-01,1661943.15,75786.31,2591,11.83,0
2023-07-01,1628151.27,70068.98,2611,9.65,0
2023-08-01,1519738.47,68564.32,2546,7.02,0
2023-09-01,1463263.75,66105.17,2553,5.41,0
2023-10-01,1531648.31,65937.38,2551,6.72,1
2023-11-01,1607072.01,69014.65,2655,6.38,1
2023-12-01,1676833.02,71347.19,2653,5.26,1
2024-01-01,1718080.38,76957.83,2711,6.19,0
2024-02-01,1809387.91,80435.16,2848,9.17,0
2024-03-01,1812648.47,84506.44,2921,8.61,0
2024-04-01,1844596.25,86962.58,3008,9.88,0
2024-05-01,1852223.15,82413.89,2994,11.51,0
2024-06-01,1857879.54,82460.66,2951,10.28,0
2024-07-01,1816009.37,78859.25,2955,9.5,0
2024-08-01,1740813.19,75222.24,2807,7.87,0
2024-09-01,1657612.41,73721.51,2806,6.77,0
2024-10-01,1770694.4,76889.88,2801,6.53,1
2024-11-01,1796710.29,73940.13,2864,5.07,1
2024-12-01,1888133.42,81236.56,2896,5.92,1
2025-01-01,1873727.9,80634.26,3065,4.86,0
2025-02-01,1946938.16,88030.23,3120,7.96,0
2025-03-01,2015289.22,92653.71,3142,8.83,0
2025-04-01,2018644.11,95272.44,3201,9.62,0
2025-05-01,2054466.08,95150.66,3261,10.3,0
2025-06-01,2023556.43,93086.69,3259,10.33,0
2025-07-01,2048096.92,87502.55,3264,10.23,0
2025-08-01,1954518.51,83975.3,3260,6.94,0
2025-09-01,1839738.57,84387.75,3136,6.52,0
2025-10-01,1892549.11,81917.39,3086,5.01,1
2025-11-01,1947557.04,81520.42,3082,4.74,1
2025-12-01,2072093.37,85433.43,3250,6.2,1
